city,cloudiness,country,date,humidity,lat,lon,main_temp,max_temp,pressure,timezone,visibility,wind.deg,wind_speed
Flinders,100.0,AU,1603589964.0,77.0,-34.58,150.86,13.26,14.44,1010.0,39600.0,10000.0,204.0,2.68
Vila Velha,40.0,BR,1603589897.0,94.0,-20.33,-40.29,22.86,23.89,1013.0,-10800.0,6000.0,20.0,3.1
Buraidah,0.0,SA,1603590138.0,44.0,26.33,43.98,14.0,14.0,1015.0,10800.0,10000.0,300.0,1.5
Kapaa,20.0,US,1603590138.0,66.0,22.08,-159.32,28.59,29.0,1012.0,-36000.0,10000.0,200.0,5.7
Bluff,93.0,NZ,1603590138.0,84.0,-46.6,168.33,12.47,12.47,1007.0,46800.0,10000.0,210.0,9.03
Vao,100.0,NC,1603589864.0,79.0,-22.67,167.48,23.03,23.03,1016.0,39600.0,10000.0,95.0,6.18
Walvis Bay,18.0,NA,1603590139.0,93.0,-22.96,14.51,13.66,14.44,1014.0,7200.0,10000.0,10.0,5.7
Ardakān,0.0,IR,1603590139.0,57.0,32.31,54.02,7.51,7.51,1023.0,12600.0,10000.0,275.0,0.1
Farmington,1.0,US,1603590002.0,17.0,36.73,-108.22,19.0,19.0,1013.0,-21600.0,10000.0,260.0,2.1
Geraldton,0.0,AU,1603590139.0,15.0,-28.77,114.6,32.0,32.0,1010.0,28800.0,10000.0,30.0,8.7
Cherskiy,12.0,RU,1603590139.0,94.0,68.75,161.3,-7.46,-7.46,1016.0,39600.0,10000.0,231.0,2.4
Nuristan,99.0,AF,1603590140.0,99.0,35.3,70.83,-5.62,-5.62,1021.0,16200.0,535.0,342.0,1.61
Cafarnaum,20.0,BR,1603590140.0,79.0,-11.69,-41.47,20.74,20.74,1012.0,-10800.0,10000.0,105.0,3.42
Hermanus,37.0,ZA,1603590140.0,82.0,-34.42,19.23,16.11,16.11,1016.0,7200.0,10000.0,240.0,1.34
Codrington,83.0,AU,1603590140.0,65.0,-38.27,141.97,11.52,11.52,1024.0,39600.0,10000.0,154.0,10.2
New Norfolk,75.0,AU,1603590140.0,44.0,-42.78,147.06,11.37,13.89,1024.0,39600.0,10000.0,164.0,0.89
Ashcroft,75.0,CA,1603590140.0,58.0,50.72,-121.29,-4.21,-1.0,1037.0,-25200.0,10000.0,270.0,5.1
Henties Bay,0.0,NA,1603589865.0,90.0,-22.12,14.28,14.44,14.44,1014.0,7200.0,10000.0,221.0,2.03
Luanda,75.0,AO,1603590008.0,88.0,-8.84,13.23,24.0,24.0,1009.0,3600.0,10000.0,240.0,2.1
Ituverava,66.0,BR,1603590141.0,91.0,-20.34,-47.78,20.12,20.12,1011.0,-10800.0,10000.0,56.0,1.98
Krasnosel'kup,76.0,RU,1603589868.0,94.0,65.7,82.47,-14.27,-14.27,1021.0,18000.0,10000.0,198.0,4.14
Khatanga,100.0,RU,1603589847.0,95.0,71.97,102.5,-13.99,-13.99,1014.0,25200.0,196.0,243.0,6.29
Sisimiut,0.0,GL,1603589911.0,88.0,66.94,-53.67,-5.6,-5.6,1009.0,-10800.0,10000.0,86.0,5.77
Mathbaria,85.0,BD,1603590141.0,85.0,22.29,89.96,25.53,25.53,1011.0,21600.0,10000.0,313.0,1.82
Klaksvík,100.0,FO,1603590142.0,87.0,62.23,-6.59,7.0,7.0,976.0,0.0,10000.0,130.0,7.7
Wakefield,37.0,GB,1603589856.0,89.0,53.68,-1.5,7.37,7.78,978.0,0.0,10000.0,218.0,4.72
Bayan,0.0,CN,1603590142.0,62.0,46.08,127.4,6.23,6.23,1017.0,28800.0,10000.0,311.0,4.24
Qeshm,0.0,IR,1603590142.0,22.0,26.96,56.27,21.5,22.0,1013.0,12600.0,10000.0,360.0,3.1
Tiksi,100.0,RU,1603590142.0,91.0,71.69,128.87,-12.29,-12.29,1008.0,32400.0,10000.0,234.0,12.02
